DNI,Nombre,Asignatura,Nota,horas_estudio,Edad,Sexo,Ciudad,Correo,Telefono
6391,Paco Jaén,Fisica,7,5.0,18.0,Masculino,Barcelona,sonia93@example.org,+34955 77 32 68
7852,Pascual Porras,Matematicas,3,8.821412351502572,19.0,Femenino,Granada,canovasurbano@example.net,+34815826306
2534,Soledad Díaz,Programacion,5,5.864267976381221,25.0,Femenino,Salamanca,alsinaaroa@example.net,+34 927 54 58 52
8435,Emma Palma,Programacion,10,2.5385057685008205,24.0,Masculino,Asturias,cpinol@example.org,+34 858664695
4683,Vera Mendoza,Matematicas,6,4.665997781994454,19.0,Masculino,Guipúzcoa,clementebeltran@example.org,+34983 09 16 64
4480,Isa Ferrándiz,Matematicas,5,3.7410760938373846,20.0,Masculino,Guadalajara,seve37@example.net,+34 946 302 735
3553,Amalia Montenegro,Programacion,4,8.45969817558435,23.0,Masculino,Murcia,klobato@example.org,
2007,Epifanio Cervantes,Fisica,1,7.678511684766419,20.0,Masculino,Girona,fabiola46@example.net,+34 937 62 14 13
2802,Toño Talavera,Programacion,6,3.0,22.0,Femenino,León,hrey@example.net,+34 985 53 42 73
9767,Fernanda Rovira,Fisica,3,5.0,20.0,Masculino,Baleares,olallainfante@example.com,+34 943530001
3574,Marita Zurita,Matematicas,5,7.791020132880229,24.0,Masculino,Cádiz,lucia56@example.org,+34845 70 05 43
6034,Tito Márquez,Programacion,3,7.923970027462531,18.0,Masculino,Badajoz,lucio43@example.org,+34 847 311 414
4141,Remigio Prats,Matematicas,6,1.3481452575632287,20.0,Masculino,Ceuta,felicianoagullo@example.com,+34 923 100 705
6069,Lázaro Río,Programacion,7,3.6026462122879908,21.0,,La Coruña,ivara@example.org,+34 849 52 72 06
2102,Eutropio Domingo,Matematicas,1,3.0,23.0,Femenino,Asturias,alberto39@example.org,+34 972 300 546
6898,Gregorio Pavón,Fisica,6,0.29340011256994303,25.0,Femenino,Asturias,,+34827 76 52 83
1524,Pánfilo Pelayo,Programacion,5,5.723699227191005,22.0,Masculino,,micaela33@example.net,+34883 49 55 99
6330,Ana Agustí,Programacion,7,0.9313909228509133,21.0,Femenino,Castellón,eva-mariafeijoo@example.org,
6229,Andrés Felipe Correa,Matematicas,5,7.9737968199796425,20.0,Masculino,Ciudad,vianafermin@example.net,
6120,Nélida Coca,Fisica,1,4.087222231891097,,Femenino,Ávila,tania44@example.com,+34 901 360 683
7952,Cecilio Palomar,Programacion,6,2.6643621718662485,18.0,Masculino,Almería,tvillalonga@example.net,+34965653271
4401,Encarnación Solsona,Matematicas,7,1.8190129137888253,25.0,Femenino,Las Palmas,lola19@example.com,+34982 335 608
2627,Salud Llobet,Fisica,6,5.0,20.0,Masculino,Ávila,juan-bautista46@example.org,+34 961685602
1862,Severiano Agustín,Programacion,6,2.925436477880661,22.0,Masculino,Toledo,basilio28@example.net,+34834 088 945
3224,Estela Saldaña,Matematicas,7,4.194577836496667,25.0,Masculino,Soria,rcortes@example.org,+34 848780511
5581,Daniel Planas,Programacion,9,3.4853081871247698,19.0,Femenino,Cuenca,casanovageronimo@example.net,+34823 511 673
6629,Lorenzo Espada,Programacion,7,5.0,23.0,Femenino,Huelva,caridadroldan@example.net,+34746 96 60 12
3247,Hilda Plana,Fisica,5,6.733956442130918,21.0,Femenino,Tarragona,arielmoliner@example.net,+34949132136
1340,Gilberto Amador,Programacion,4,6.383904164671296,22.0,Masculino,Girona,vito99@example.org,+34 983445793
9829,Ambrosio Mateos,Matematicas,6,5.213540010972559,18.0,Masculino,Cantabria,ligia93@example.com,+34 973771210
1354,Celso Ferreras,Programacion,5,8.640642174787892,23.0,,,montenegrovenceslas@example.net,+34 873 848 953
3273,Manu Camps,Fisica,10,3.011574233551608,23.0,Femenino,Ourense,palauvilma@example.org,+34 842392935
1838,Ester Amo,Programacion,8,3.0,18.0,Masculino,Asturias,qchacon@example.net,+34 874146605
5248,Liliana Sureda,Programacion,3,7.323762285426299,21.0,Femenino,Girona,msaura@example.net,+34818 434 936
1578,Hermenegildo Lara,Fisica,8,2.652477608853617,25.0,Masculino,Córdoba,borja03@example.org,+34844 58 01 53
6604,Georgina Morell,Programacion,6,3.0,24.0,Masculino,Jaén,geraldoguijarro@example.com,
3279,Maximino Amo,Programacion,10,2.9588169744492436,24.0,Femenino,Teruel,reynacio@example.com,+34 836 60 26 61
7555,Natalio Salas,Matematicas,7,4.085326683983639,24.0,Femenino,Toledo,luciadiaz@example.org,+34927751770
6863,Tere Coronado,Programacion,5,1.8542154496521714,20.0,Masculino,Melilla,gsalazar@example.net,+34862 41 01 40
4094,Abel Solé,Programacion,5,3.0,22.0,Femenino,Jaén,rufino14@example.com,+34902 188 701
2373,Maximiliano Neira,Programacion,9,3.8009441086769096,19.0,Masculino,Soria,maldonadomaximiano@example.com,+34 948 49 90 52
6783,Margarita Sáez,Programacion,6,5.0,20.0,Masculino,Teruel,wllamas@example.com,+34 988691623
9528,Estefanía Bou,Programacion,6,4.718674956906826,25.0,Masculino,La Rioja,tiburcio40@example.org,+34 922104262
9072,Vinicio García,Fisica,7,1.897606246322268,21.0,Masculino,Teruel,yesica09@example.org,+34 880837695
7114,Macaria Sotelo,Matematicas,5,8.515761435992243,19.0,Femenino,Santa Cruz de Tenerife,josecarpio@example.com,+34839509037
8881,Vidal Castillo,Programacion,6,3.0,19.0,Masculino,Girona,ariadna73@example.net,
5550,Gertrudis Bellido,Fisica,6,8.288411058613026,25.0,Femenino,Guadalajara,buendiaartemio@example.org,+34877 46 47 41
5672,Valero Tello,Programacion,2,0.9399684287876426,18.0,Masculino,Cáceres,efrain42@example.com,+34945 410 259
7564,Joaquina Tenorio,Matematicas,10,2.8433231077736196,18.0,Masculino,Ceuta,landres@example.net,+34 715 97 89 47
3537,Noemí Perea,Matematicas,3,3.004955859702756,25.0,Masculino,Burgos,buenaventuraberrocal@example.com,+34 820 726 986
6921,Luisina Viñas,Matematicas,6,5.002545780684924,18.0,Masculino,Guipúzcoa,,+34844 062 198
1990,Gracia Pol,Programacion,6,5.0,23.0,Femenino,Ceuta,nandreu@example.net,+34941 928 838
3672,Chelo Abad,Programacion,4,3.0,21.0,Femenino,Burgos,ireina@example.com,+34826799686
2900,Charo Larrañaga,Fisica,5,4.4409334414279,,Masculino,Ávila,delgadoagustina@example.net,+34847 47 39 39
8016,Victoria Exposito,Programacion,5,3.0,24.0,Masculino,Segovia,eva-mariaurena@example.net,+34 739772013
9104,Oriana Carballo,Programacion,10,1.918168133972201,,Masculino,Soria,khervas@example.com,
6131,Ámbar Ibañez,Fisica,6,3.0,24.0,Masculino,Zaragoza,kcontreras@example.net,
2756,Edelmira Manso,Programacion,6,0.25219214787395616,25.0,Masculino,Lugo,boadagalo@example.com,+34 962856641
6205,Régulo Boix,Fisica,8,4.7480966501192,23.0,Femenino,Valladolid,yolanda95@example.org,
9140,Pánfilo Cabeza,Fisica,7,5.0,20.0,Masculino,,vicenta01@example.net,+34956 748 348
8817,Leoncio Salvà,Fisica,6,4.076914841517303,24.0,Masculino,Guipúzcoa,ygargallo@example.org,+34 922 698 420
2166,Francisca Camacho,Matematicas,6,7.435805826941273,24.0,Masculino,Pontevedra,gerardotorralba@example.net,+34688548816
9310,Máxima Boada,Programacion,7,5.0,23.0,Masculino,Palencia,esolana@example.net,+34827667617
4677,José Ángel Pablo,Programacion,9,5.0,19.0,Masculino,Lugo,bcolom@example.com,+34924924291
3517,Amancio Casals,Matematicas,1,0.1860919263728903,23.0,Masculino,Zaragoza,lagosamuel@example.org,+34885736166
6249,Ámbar Llopis,Programacion,9,3.672434523513748,20.0,Masculino,Ciudad,ariadnagonzalo@example.net,+34 824814945
9155,Eleuterio Llorens,Programacion,5,3.2035121170405736,25.0,Masculino,Granada,anastasiacoca@example.net,+34 823 512 416
4387,Blanca Ricart,Matematicas,6,3.8627411558453195,18.0,Femenino,Valladolid,soniatorrijos@example.com,+34 828 009 421
7027,Cosme Ballesteros,Programacion,8,3.980153149477162,22.0,Masculino,Cádiz,nazario75@example.com,+34882458948
1839,Trini Comas,Programacion,10,3.0,23.0,Masculino,Cuenca,felicianaalcala@example.org,+34 873120644
2899,Bernardino Ramirez,Programacion,2,3.0,25.0,Masculino,Almería,vjimenez@example.org,+34 928 57 66 51
4748,Emilia Quevedo,Matematicas,10,6.791754462285497,23.0,Femenino,Navarra,concha16@example.net,+34977 555 077
6261,Carmelita Blanca,Fisica,6,7.79674942312511,21.0,Masculino,Asturias,mercedes30@example.com,+34822 13 60 24
8781,Tecla Peña,Programacion,6,2.2172008003220944,24.0,Masculino,Soria,jerezalfredo@example.com,
6871,Calisto Nuñez,Matematicas,9,5.643582754209125,20.0,Femenino,Castellón,rivasernesto@example.com,+34874 885 420
2528,Abril Hoz,Fisica,6,5.0,18.0,Masculino,Huelva,,+34 876822716
7749,Luciano Nogueira,Fisica,6,4.4359238511493135,23.0,Femenino,Valladolid,benita30@example.org,+34 845039408
4551,Anna Flores,Programacion,3,3.0,20.0,Masculino,Ourense,cadenasluis@example.org,+34882443624
2758,Toni Badía,Programacion,6,5.0,19.0,Femenino,Almería,yramirez@example.com,
9293,Leandro Alba,Matematicas,4,5.0,23.0,Femenino,Granada,gasconraimundo@example.org,+34 945 00 79 46
5456,Maximino Tello,Fisica,7,3.0,25.0,Femenino,Cuenca,atienzajose-ignacio@example.com,+34823 74 05 34
7631,Efraín Barba,Matematicas,5,3.0,23.0,Masculino,Madrid,teo52@example.com,+34978 480 975
3064,Nadia Campillo,Fisica,5,6.026228595400033,18.0,Masculino,Guadalajara,eugeniaestevez@example.net,+34 704 784 332
4009,Fidela Campoy,Programacion,6,6.964794186035961,22.0,Masculino,Cuenca,maria-angeles69@example.org,+34 948 921 955
3869,Malena Rovira,Fisica,5,8.900009054923107,,Femenino,Tarragona,urosell@example.org,+34922 757 566
5057,Samanta Aguirre,Matematicas,3,5.0,20.0,Masculino,Badajoz,jrosello@example.org,+34 987 069 314
1714,Delia Piñeiro,Programacion,7,5.0,24.0,Femenino,Barcelona,ochoaroldan@example.com,+34 973 26 67 78
8640,Andrés Carmona,Fisica,5,0.08309928596397353,25.0,Femenino,Valladolid,posadaangelica@example.com,+34944 397 671
1372,Palmira Coll,Matematicas,6,6.916013092540003,18.0,,Jaén,canetluciano@example.org,
3227,Martina Perea,Programacion,5,4.889828745003012,24.0,Masculino,Las Palmas,casanovashilario@example.net,+34806965052
6740,Pánfilo Lara,Programacion,5,3.048350622829968,25.0,Femenino,Málaga,talaveraflorentino@example.net,+34922585859
6839,José María Castro,Fisica,1,4.38471226626559,20.0,Masculino,Badajoz,antoniamaza@example.net,+34821 64 30 94
8389,Primitivo Donaire,Fisica,10,8.010126119564383,25.0,Femenino,Huesca,morilloangeles@example.org,+34985 81 37 74
3069,Nacio Piña,Matematicas,9,3.3612639982881776,23.0,Femenino,Huelva,batllehector@example.org,+34875 19 25 68
1063,Miguel Corral,Programacion,10,4.088386463305374,24.0,Femenino,Asturias,mascaromar@example.net,+34880 73 63 38
5963,Candelas Valero,Programacion,6,3.0618366518514786,19.0,Masculino,Granada,marciano09@example.org,+34 813 04 37 55
2082,Felisa Ortiz,Matematicas,8,3.586285797773327,19.0,Femenino,Huesca,bayonatilio@example.net,+34 925 033 448
1825,Rufina Gras,Matematicas,7,0.08053910459492697,23.0,Femenino,Huesca,mateo51@example.net,+34 919394048
9155,Nidia Pedraza,Programacion,7,5.0,23.0,Femenino,Badajoz,valeriamontalban@example.org,+34875 893 114
8632,Vicente Sanabria,Fisica,5,4.6403764917913835,24.0,Masculino,Girona,vdelgado@example.com,
6161,Dani Barros,Matematicas,3,2.9033346344366837,20.0,Femenino,Cádiz,candida32@example.com,+34 872 227 369
1979,José María Lozano,Programacion,6,3.576801954477024,20.0,Femenino,Palencia,ambrosio38@example.net,+34 900 77 41 88
8349,Luis Ángel Expósito,Fisica,5,8.403777796980126,20.0,Femenino,Álava,djauregui@example.org,+34845702446
2824,Ema Serna,Programacion,7,3.6846814287906082,20.0,Femenino,Alicante,juan-franciscotirado@example.com,+34 803 892 896
3984,Leoncio Pujol,Programacion,9,3.1869479367790197,19.0,Femenino,Valladolid,chus75@example.net,
6143,Elba Campos,Programacion,5,3.0,24.0,Masculino,Asturias,nadiaalmagro@example.org,+34 978993068
7014,Ricardo Briones,Programacion,5,3.0,19.0,Femenino,Zamora,iborja@example.net,+34 883 456 071
2124,Timoteo Criado,Matematicas,10,3.0,25.0,Masculino,,eladio83@example.net,+34823 03 15 64
3932,María José Rozas,Fisica,6,3.5274920318567817,25.0,Femenino,Murcia,murillobasilio@example.com,+34 866 23 82 67
2402,María Jesús Belmonte,Programacion,5,7.504993701670277,18.0,Masculino,Badajoz,,+34 846 704 420
5533,Ciriaco Medina,Fisica,7,3.6704908852842815,19.0,Masculino,Baleares,navarrosara@example.net,+34927715406
3885,Timoteo Mármol,Programacion,6,4.809141630016826,24.0,Masculino,Ávila,xvalenzuela@example.net,+34924 99 14 09
1827,Heliodoro Marco,Fisica,7,4.245023932545674,19.0,Masculino,Las Palmas,nazariosarmiento@example.org,+34 882 424 903
7643,Clímaco Moll,Fisica,7,3.60286378657593,21.0,Masculino,Zamora,maria-cristinavigil@example.net,+34746 942 937
2715,Georgina Arana,Matematicas,6,1.656107022438368,24.0,Femenino,Ciudad,pepelobo@example.org,+34981404915
7670,Segismundo Coca,Programacion,7,2.5952296722996757,19.0,Femenino,Santa Cruz de Tenerife,eutimio93@example.com,+34 977519395
2346,Eva Luís,Matematicas,6,3.57750071162735,23.0,Masculino,Barcelona,hescribano@example.com,+34880 74 67 07
2303,Lino Melero,Programacion,4,8.812075163330203,18.0,Masculino,Albacete,bertosegovia@example.org,+34749 35 33 77
2581,Guadalupe Naranjo,Programacion,6,4.772981531731701,18.0,Femenino,Salamanca,olegariogaliano@example.com,+34 849904792
3476,Rodrigo Ordóñez,Fisica,7,0.4945824271079303,20.0,Femenino,Zaragoza,falmagro@example.com,+34858310498
7893,Joel Jiménez,Programacion,6,1.1091100089409558,22.0,Femenino,Alicante,halberto@example.org,+34 946 18 55 24
2523,Ciriaco Cuevas,Fisica,6,7.632113828542401,24.0,Femenino,Tarragona,franciscasaez@example.org,+34878 934 406
9191,Asdrubal Conde,Programacion,5,8.871712498425808,21.0,Femenino,Lugo,ballesterosmaria-jesus@example.net,+34 864 32 56 43
8816,Adelardo Reguera,Matematicas,4,3.5283021887033077,21.0,Masculino,Ceuta,haroca@example.com,+34 880 532 796
2002,Prudencio Linares,Programacion,9,5.0,22.0,Masculino,Navarra,yfernandez@example.com,+34873534429
6646,Regina Quevedo,Programacion,10,3.0,22.0,Masculino,Murcia,teodosio75@example.com,+34985 817 979
5844,Febe Castejón,Fisica,7,4.477153900842975,20.0,Masculino,Lugo,,+34945261802
7693,Quirino Morales,Fisica,8,3.813106738926621,21.0,,Barcelona,perlita06@example.com,+34 846 45 28 49
3795,Toño Agudo,Programacion,7,6.339157456734178,19.0,Masculino,Baleares,arellanowalter@example.com,+34 847610330
1706,Marisela Rozas,Fisica,5,3.0,18.0,Masculino,Burgos,julianaroa@example.org,+34873258178
4839,Marino Barroso,Fisica,5,3.0493084166215034,,Masculino,Jaén,,+34948271820
8481,Rita Ojeda,Fisica,6,3.0,,Femenino,Guipúzcoa,llopisnoelia@example.org,+34885 236 329
5886,Adriana Chacón,Fisica,6,4.054330865359334,20.0,Masculino,Teruel,soriaismael@example.com,+34 925 775 465
8575,Débora Cabo,Programacion,4,5.0,23.0,Femenino,Cádiz,adoracion92@example.org,+34873 22 55 82
9574,Guillermo Alvarado,Matematicas,6,7.230175487267228,25.0,Masculino,Castellón,gamezsocorro@example.net,+34 811637358
1983,Ema Prieto,Programacion,2,5.0,25.0,Femenino,Burgos,xramos@example.org,
4680,Manola Guijarro,Fisica,3,0.8571554573566185,25.0,Masculino,Las Palmas,zaida83@example.com,+34847911832
7862,Adalberto Chaves,Programacion,6,3.0,22.0,Masculino,Zaragoza,alcaldeoscar@example.net,
1294,Celestino Morata,Fisica,5,6.149472617109557,24.0,Masculino,Zamora,wpadilla@example.org,+34 983 53 37 93
1152,Ildefonso Heredia,Matematicas,1,8.488147845337942,22.0,Femenino,Sevilla,baldomerolerma@example.net,+34 900 690 987
6226,Bonifacio Cabañas,Fisica,6,5.0,25.0,Masculino,Cádiz,natanael35@example.com,+34 876 581 293
5947,Rafa Lluch,Matematicas,5,3.0,23.0,Femenino,Huesca,marisela37@example.org,+34 985 47 40 06
9827,Jose Miguel Galván,Programacion,1,5.034185530348897,23.0,Masculino,Ourense,jfabregat@example.net,+34 946 35 95 63
2468,Azeneth Cardona,Programacion,5,6.9850432969443625,25.0,Femenino,Asturias,uescalona@example.com,+34843 128 859
5849,Américo Martín,Fisica,7,3.626723458249561,19.0,,Huelva,anastasia91@example.org,+34 972 436 911
9789,Débora Bertrán,Fisica,6,3.0,23.0,Femenino,Las Palmas,bernardoazcona@example.org,+34 923 100 559
4994,Paola Oliveras,Matematicas,6,5.0,20.0,Femenino,Albacete,benitezfrancisco@example.org,+34 949978947
6955,Haroldo Morera,Matematicas,8,5.002040736171427,23.0,Femenino,La Coruña,evalle@example.org,+34 972 64 57 99
2648,Goyo Briones,Matematicas,10,4.006407075339755,19.0,Masculino,Córdoba,georgina64@example.org,+34 978 89 29 44
5293,Julián Romero,Fisica,6,3.0,24.0,Femenino,Zaragoza,nevadoadan@example.org,+34 841 15 35 84
5682,Gustavo Guillén,Programacion,3,5.770301611670159,21.0,Masculino,Ceuta,oliviadiez@example.net,+34819 17 87 24
2788,Miguela Aguado,Programacion,10,5.0,20.0,,Córdoba,lloreteutropio@example.com,+34945251784
5835,Manola Galiano,Programacion,7,5.0,25.0,Masculino,Albacete,cerezocarlos@example.net,+34718590818
6765,Mireia Medina,Programacion,5,4.5558586974253465,23.0,Masculino,La Coruña,trinidadcasal@example.org,+34921 043 761
3973,Lino Blanca,Matematicas,5,5.240324346858191,19.0,Masculino,Valencia,belen43@example.org,+34848 09 37 47
9263,Luis Miguel Bayo,Programacion,6,1.5024291647175625,19.0,,,isaac32@example.net,+34803 23 34 29
6971,Cruz Izaguirre,Matematicas,5,3.0,21.0,Femenino,La Rioja,cristian65@example.org,+34 949 713 477
6896,Valerio Flor,Fisica,5,4.465471550620735,22.0,Femenino,Alicante,valeria83@example.org,+34 971 881 746
1436,Berto Montalbán,Matematicas,6,6.718965467861059,20.0,Masculino,Las Palmas,florinda85@example.org,+34 821 50 59 62
4501,Azucena Calvet,Matematicas,6,7.7742284002496485,24.0,Femenino,,chemaponce@example.org,+34 921 857 261
1836,Caridad Cisneros,Fisica,4,3.9373107259214373,22.0,Femenino,,maria-luisa61@example.net,
8183,Macaria Llamas,Fisica,6,0.5061006973846213,20.0,Femenino,Ávila,vgalvez@example.net,+34914 259 942
2737,Guillermo Bolaños,Matematicas,5,3.0,24.0,Masculino,La Coruña,barriomarcelino@example.org,+34 888 89 26 82
8057,María Dolores Torrents,Matematicas,5,3.0,20.0,,Murcia,espejovinicio@example.net,+34846 987 390
8389,Lara Alberto,Fisica,1,5.0,23.0,Femenino,Girona,cipriano47@example.net,+34824 30 13 46
7505,Evangelina Herranz,Matematicas,5,3.0139066042887848,18.0,Masculino,Álava,florentinojurado@example.org,+34887 18 90 66
4868,Mauricio Berenguer,Fisica,1,6.85553920674663,21.0,Femenino,Huelva,lina71@example.com,+34825 36 74 32
3456,Federico Montesinos,Programacion,7,1.0395210324970094,19.0,Femenino,Palencia,vinastelmo@example.com,+34848063897
1645,Begoña Ferrando,Programacion,3,4.856674128999452,18.0,,Zaragoza,,+34827 197 241
6710,Balduino Navas,Programacion,2,3.430265173998417,22.0,Masculino,Guipúzcoa,olopez@example.org,+34881855794
1989,Roque Torralba,Programacion,7,0.9647852761932698,20.0,Masculino,Córdoba,aleroca@example.com,+34902 49 63 02
4267,Araceli Falcón,Programacion,6,4.60358460753133,25.0,Femenino,Sevilla,ulises60@example.net,+34 824004416
6481,Lope Alemany,Programacion,5,3.7181832724888633,21.0,Masculino,Salamanca,camachoadriana@example.com,+34845 88 48 32
6113,Samu Pardo,Matematicas,5,4.038142351377665,25.0,Femenino,Vizcaya,nazaret30@example.net,+34974 289 980
3083,Fidela Carrera,Programacion,7,2.8366458349112835,23.0,Masculino,Lugo,clementina91@example.org,+34928 70 87 50
5121,Paca Salazar,Programacion,9,4.8636026937497165,20.0,Masculino,Zaragoza,sigfridoplanas@example.net,+34 800781445
5844,Iván Morales,Fisica,7,5.0,25.0,Masculino,Almería,bilbaorafa@example.net,+34 806 845 736
7609,Dora Perea,Matematicas,1,3.0,24.0,Femenino,Cáceres,barcelogustavo@example.org,+34 822 32 68 71
7204,Ramiro Duarte,Fisica,1,5.0,18.0,Masculino,Ceuta,alfonsobernabe@example.com,+34 977497074
7119,Víctor Gisbert,Fisica,5,5.0,22.0,Masculino,Pontevedra,pascualazamorano@example.org,+34955 79 85 32
5637,Fortunata Parra,Matematicas,1,1.7637899406909217,,Masculino,Sevilla,ariadna57@example.com,+34884 99 99 34
8157,Nacho Cañizares,Programacion,6,4.461973852208768,20.0,Femenino,,qiriarte@example.net,+34 874 864 012
2466,Rosendo Lobo,Matematicas,7,3.0764797745639028,,Masculino,Cuenca,saturnino82@example.org,+34923351797
2613,Asunción Adadia,Fisica,8,3.285557420269578,24.0,Femenino,Huesca,wsanmiguel@example.org,+34 819 630 757
5540,Ramiro Benavides,Programacion,9,2.4070302366547693,19.0,Femenino,Salamanca,riquelmeana-sofia@example.org,+34984 62 80 65
7922,Sabina Cabañas,Fisica,5,4.593025396365803,22.0,Femenino,,baudelio61@example.net,+34 926 88 96 96
5107,Evaristo Sarmiento,Programacion,5,5.429028563019854,25.0,Femenino,Lugo,lermaarmando@example.net,+34821526791
9727,Vilma Barberá,Programacion,5,3.0,25.0,Femenino,Huesca,paco42@example.org,+34 926 70 18 23
4261,Hilda Piquer,Programacion,9,7.190622980242351,24.0,Femenino,Ceuta,mmayo@example.com,+34974 47 81 53
2797,Teófila Lucas,Matematicas,1,7.236833914838868,22.0,Masculino,Zaragoza,knogueira@example.org,+34 920925043
3098,Jimena Madrigal,Matematicas,7,3.255328796521858,22.0,Masculino,Granada,cervantescandela@example.org,+34 879 70 37 34
5812,Carolina Flor,Fisica,6,3.0,25.0,Masculino,Granada,silvia49@example.com,+34981690520
9182,Petrona Valera,Matematicas,6,2.8180748132044915,23.0,Femenino,Vizcaya,florenciarevilla@example.net,+34 803 836 500
5114,Ámbar Mercader,Fisica,2,7.807100417403186,19.0,Femenino,Palencia,manoloferrera@example.org,+34947 060 176
7312,Dorotea Palomino,Fisica,5,5.0,,Femenino,Málaga,beatrizcasal@example.net,+34928 032 137
3814,Armando Galiano,Programacion,8,5.0,22.0,Femenino,Badajoz,salome12@example.org,+34878 433 644
1793,Eustaquio Montes,Programacion,5,4.147155208226187,,Masculino,Zaragoza,pilivillaverde@example.net,+34 843 00 95 18
2308,Tere Carvajal,Programacion,5,4.8509478985438665,24.0,Femenino,Cádiz,escamillavinicio@example.net,+34978 37 96 74
7027,Carmina Rico,Fisica,10,6.7697752031624585,23.0,Masculino,Soria,bermudezchuy@example.com,+34945 352 475
9053,Elpidio Carbó,Fisica,6,6.141039522066706,23.0,Femenino,Las Palmas,rolive@example.org,+34848 663 163
7104,Godofredo Seguí,Programacion,5,4.355858462437271,24.0,Masculino,Huesca,elba33@example.org,+34 924 10 54 90
5366,María Pilar Navarro,Matematicas,5,3.0,25.0,Masculino,Zaragoza,inmaculadatomas@example.net,+34 983611598
5993,Imelda Velasco,Programacion,9,3.496166425542029,25.0,Masculino,Lleida,arceroberta@example.org,+34875431935
8574,Carlos Casals,Programacion,6,4.11710578643394,19.0,Masculino,Pontevedra,crespijacinta@example.com,
3064,Vera Zabala,Programacion,10,6.154402288633273,23.0,Masculino,Córdoba,osacristan@example.com,+34 928730705
4161,Alejo Carrasco,Matematicas,5,3.0,23.0,Masculino,Alicante,jorgecortes@example.net,+34 806 75 36 29
4235,Jose Antonio Arellano,Programacion,5,3.74598878906267,23.0,Masculino,Tarragona,kmolins@example.org,+34 803 44 57 24
8159,Ofelia Solsona,Fisica,1,3.247663391626141,18.0,Masculino,Baleares,salamancaberto@example.com,+34 879 14 15 86
8728,Gloria Fábregas,Fisica,6,2.148732064137259,19.0,Femenino,Navarra,torreambrosio@example.org,+34838 980 464
3854,Mariana Royo,Matematicas,7,3.0,25.0,Masculino,Murcia,cirino98@example.com,+34 849 01 08 52
9233,Lino Suárez,Programacion,7,2.795929540225321,24.0,Masculino,Pontevedra,obduliapozo@example.net,+34924 00 60 07
1475,Leonel Bas,Matematicas,7,6.246752411204444,21.0,Masculino,Cáceres,ciriaco74@example.net,+34817572758
7977,Julieta Vega,Matematicas,7,4.263603008905564,24.0,,Ávila,darteaga@example.net,+34 924 67 75 14
8977,Santos Tejera,Matematicas,4,2.196162717510761,24.0,Masculino,La Rioja,llanocandelas@example.net,+34 944 740 428
8751,Macaria Villar,Programacion,5,1.8864804881129498,21.0,Femenino,Ourense,msantamaria@example.org,+34975947980
